section_id,pavement_age_years,aadt,heavy_vehicle_percentage,pavement_thickness_mm,number_of_lanes,subgrade_cbr,annual_rainfall_mm,mean_temperature_c,years_since_last_maintenance,distress_density,pci,traffic_load_index,maintenance_gap,log_aadt
1084,1.91,2626.04,3.57,170.71,2,2.0,894.68,12.86,1.91,25.95125,60.39,93.74962799999999,1.91,7.873613016063718
1085,9.33,2332.5,7.26,274.53,4,5.14,964.875,15.29,2.37,8.75,59.5,169.3395,2.37,7.75512456538987
1086,9.76,13158.3,11.55,190.9,1,4.71,515.94,19.88,9.76,14.35,48.6,1519.78365,9.76,9.484884011975229
1087,21.89,2909.27,7.65,257.17,1,5.26,1636.56,26.61,5.45,4.06,20.3,222.559155,5.45,7.97600113936657
1088,19.13,27167.33,10.19,216.2,2,12.48,1350.69,20.35,9.97,5.54,15.38,2768.350927,9.97,10.209807235680413
1089,15.33,1532.19,10.5,125.32,1,5.64,1385.66,33.31,4.29,25.95125,0.0,160.87995,4.29,7.335105811178842
1090,14.17,27167.33,7.47,100.0,3,4.49,877.82,6.26,2.98,24.05,41.09,2029.3995510000002,2.98,10.209807235680413
1091,3.59,9593.24,4.94,265.87,1,8.56,308.33,20.09,3.59,7.34,68.21,473.90605600000004,3.59,9.168918197383896
1092,21.4,7499.78,14.36,210.69,2,13.25,1781.17,22.53,0.28,6.86,20.97,1076.968408,0.28,8.922762294116776
1093,22.82,5239.94,0.29,211.28,3,5.14,964.875,32.61,6.57,7.02,13.69,15.195825999999999,6.57,8.564256150539727
1094,16.84,11151.27,9.02,252.27,3,3.02,700.48,6.47,0.32,18.11,40.8,1005.844554,0.32,9.3193983436111
1095,23.13,7862.75,14.73,332.14,4,6.63,1166.72,22.2,7.25,16.92,14.85,1158.1830750000001,7.25,8.970018870884239
1096,14.81,19587.39,18.8,230.92,1,11.72,1466.85,30.61,7.52,11.1,18.33,3682.4293199999997,7.52,9.882692322773075
1097,15.68,8878.45,9.34,226.16,2,9.16,990.78,12.26,4.82,8.75,42.89,829.2472300000001,4.82,9.091494897131108
1098,12.83,9138.41,24.18,285.01,4,12.62,1511.43,31.29,1.98,7.28,36.09,2209.6675379999997,1.98,9.120351110942343
1099,0.76,6057.85,4.46,155.01,4,14.47,1433.2,19.88,5.45,25.95125,72.03,270.18011,5.45,8.709275292078052
1100,3.24,7742.22,11.67,265.62,1,12.3,569.45,26.97,3.24,2.36,70.65,903.517074,3.24,8.954572900743
1101,0.94,10365.53,9.75,288.63,1,9.85,730.48,32.99,0.94,6.13,71.35,1010.6391750000001,0.94,9.246337626132572
1102,19.09,2062.89,10.69,297.62,2,8.41,2062.7112500000003,24.72,7.96,10.54,2.43,220.52294099999997,7.96,7.632347830607603
1103,15.33,2755.77,13.7,114.43,4,2.52,200.0,18.17,8.85,1.9,45.11,377.54049,8.85,7.921814983532213
1104,15.26,14685.43,10.45,196.71,2,14.8,940.22,6.35,3.01,5.23,44.79,1534.6274349999999,3.01,9.594679217168917
1105,27.23,9289.99,4.22,188.52,4,6.99,427.67,32.6,4.31,25.95125,16.36,392.03757799999994,4.31,9.136800392330326
1106,7.48,6994.04,13.58,256.99,4,3.98,809.38,19.88,2.43,16.15,60.87,949.7906320000001,2.43,8.852956605453496
1107,12.31,8223.47,2.67,283.65,4,10.67,880.47,5.87,3.74,5.2,61.29,219.56664899999996,3.74,9.014869135867405
1108,15.33,10700.71,15.79,354.77,1,5.7,856.7,19.88,3.37,5.06,24.62,1689.6421089999997,3.37,9.27815882076536
1109,15.33,5261.61,6.81,252.27,4,9.62,964.875,19.46,6.86,2.38,58.26,358.31564099999997,6.86,8.568382380385007
1110,2.31,4347.5,27.65,215.17,4,9.63,561.14,8.73,2.31,5.82,72.76,1202.0837499999998,2.31,8.37758623702982
1111,8.69,9477.5,6.81,330.48,4,7.79,1916.76,11.43,8.69,12.57,38.87,645.41775,8.69,9.15678135488162
1112,4.84,3704.49,10.39,270.76,3,12.87,1746.98,6.93,2.93,11.06,70.94,384.896511,2.93,8.217570782696637
1113,27.89,11232.9,13.63,338.74,1,5.44,535.17,22.23,9.63,6.08,5.87,1531.04427,9.63,9.32669127150389
1114,24.24,2075.45,7.74,270.21,3,7.83,1632.85,23.66,12.26,3.71,6.27,160.63983,12.26,7.638414983801853
1115,19.0,18459.32,17.68,169.0,1,8.99,840.21,20.17,8.4,7.2,23.71,3263.607776,8.4,9.823378842684496
1116,26.14,27167.33,11.67,156.68,2,10.63,1051.67,29.51,3.83,7.07,2.79,3170.427411,3.83,10.209807235680413
1117,24.11,8562.29,1.73,141.39,3,12.19,974.69,30.83,3.94,14.73,13.99,148.12761700000001,3.94,9.055239741088256
1118,5.6,17785.75,3.41,296.34,2,7.13,736.1,23.47,0.59,9.91,59.55,606.494075,0.59,9.786209077067841
1119,26.78,27167.33,18.95,333.2,4,10.4,1393.54,5.38,4.58,8.75,17.08,5148.209035000001,4.58,10.209807235680413
1120,16.18,18242.26,10.96,379.46,2,3.96,1050.35,25.86,11.17,19.21,24.88,1999.351696,11.17,9.811550975728538
1121,24.22,1858.08,9.5,309.02,2,14.12,809.38,17.54,0.71,23.91,31.58,176.5176,0.71,7.5278370206847
1122,26.88,2911.25,10.68,252.27,2,6.98,478.16,21.97,3.29,10.96,15.41,310.9215,3.29,7.976681257279886
1123,9.54,4915.48,4.14,209.4,2,11.48,642.56,24.47,9.54,11.16,59.12,203.500872,9.54,8.50034810627743
1124,3.3,8274.0,10.69,169.05,1,2.26,343.45,15.51,3.3,7.6,64.71,884.4906,3.3,9.020994200245264
1125,6.84,12260.37,10.51,309.51,3,4.67,1004.89,32.51,6.83,4.01,44.15,1288.564887,6.83,9.414208948761004
1126,12.81,4534.2,27.56,279.24,1,8.33,521.33,19.88,10.47,15.56,43.72,1249.62552,10.47,8.419624463010093
1127,24.54,9408.92,10.02,257.52,1,13.42,893.78,25.15,5.82,13.51,19.22,942.773784,5.82,9.149519730949237
1128,25.82,4427.96,9.79,277.12,1,8.85,1548.04,19.88,2.4,8.09,32.49,433.4972839999999,2.4,8.395920072498356
1129,0.21,4968.07,11.07,252.27,2,14.09,1479.72,32.74,0.21,9.94,70.11,549.965349,0.21,8.510987978844613
1130,15.32,2629.82,10.69,339.87,1,8.29,987.09,8.38,8.7,18.34,38.18,281.12775800000003,8.7,7.875050863648565
1131,12.52,3871.56,9.2,340.65,3,8.38,965.17,7.85,12.52,20.47,46.19,356.18352,12.52,8.261671066038005
1132,6.66,2748.07,17.03,288.1,1,3.56,1751.95,14.99,1.03,0.49,62.37,467.996321,1.03,7.919017951646069
1133,3.6,3711.91,8.91,309.21,4,12.43,1208.3,16.21,5.45,4.91,67.55,330.731181,5.45,8.219571214723597
1134,10.13,18824.48,19.09,252.27,2,5.21,868.88,11.43,4.93,8.07,42.48,3593.5932319999997,4.93,9.842966550350994
1135,28.29,3791.36,9.24,217.72,4,13.69,429.59,22.55,7.62,3.2,14.18,350.321664,7.62,8.240743795577568
1136,9.7,27167.33,17.26,302.96,3,13.84,1157.55,18.29,0.36,10.13,55.59,4689.081158,0.36,10.209807235680413
1137,15.56,12023.93,15.48,152.39,3,14.26,1331.73,6.03,4.7,5.13,42.47,1861.3043639999999,4.7,9.394737273751197
1138,21.09,9394.4,8.35,323.77,3,8.76,747.34,14.59,12.3,10.39,16.44,784.4323999999999,12.3,9.147975486779453
1139,10.91,4077.8,3.6,166.38,3,10.8,1116.48,29.31,8.31,5.26,40.87,146.80080000000004,8.31,8.31355810649007
1140,29.15,14189.36,24.15,270.01,1,12.12,854.57,25.69,6.76,5.46,0.67,3426.73044,6.76,9.560318139811134
1141,28.87,8562.29,9.06,190.84,2,3.7,926.39,26.75,4.28,10.33,1.37,775.7434740000001,4.28,9.055239741088256
1142,7.55,8933.9,12.17,288.74,3,9.81,200.0,19.88,4.47,16.03,58.44,1087.2556299999999,4.47,9.097720235589096
1143,14.92,27167.33,6.59,247.63,4,2.45,964.875,14.33,5.75,12.95,32.9,1790.3270470000002,5.75,10.209807235680413
1144,9.03,8562.29,7.3,138.37,3,8.47,1387.75,7.99,9.03,8.13,51.09,625.04717,9.03,9.055239741088256
1145,15.33,20321.17,19.07,279.45,2,4.01,747.44,13.17,8.55,1.32,42.39,3875.2471189999997,8.55,9.919467687329211
1146,1.11,4616.81,21.06,252.27,4,4.38,1021.01,29.95,1.11,5.34,51.17,972.300186,1.11,8.43767584571593
1147,18.29,7879.42,14.44,311.68,4,6.75,697.62,34.41,5.9,4.86,26.81,1137.788248,5.9,8.972136480923943
1148,15.08,27167.33,10.04,250.09,4,7.62,1144.18,19.82,12.7,14.09,25.31,2727.599932,12.7,10.209807235680413
1149,1.54,4907.04,15.34,277.68,1,10.1,913.39,5.29,1.54,9.39,76.57,752.7399360000001,1.54,8.498629955756842
1150,8.36,27167.33,7.84,182.97,3,2.97,624.3,9.2,8.28,8.75,38.93,2129.9186720000002,8.28,10.209807235680413
1151,27.25,14274.09,11.9,208.75,1,8.55,1533.02,14.66,3.46,4.18,12.38,1698.6167100000002,3.46,9.566271339232882
1152,7.19,5166.89,5.29,217.9,4,4.37,964.875,22.36,7.19,21.02,48.37,273.328481,7.19,8.550219760406192
1153,4.35,13439.13,5.05,309.97,1,9.46,758.04,7.25,4.35,9.61,71.58,678.6760649999999,4.35,9.506000286649408
1154,14.68,17642.1,14.19,367.42,1,8.41,1199.12,33.3,12.14,3.96,17.02,2503.4139899999996,12.14,9.778100051082303
1155,29.57,13325.68,12.88,193.64,1,9.24,1214.96,15.95,11.71,4.22,0.0,1716.347584,11.71,9.497523319886032
1156,7.26,2307.27,12.43,325.38,3,8.41,1256.92,32.38,3.23,10.67,53.7,286.793661,3.23,7.744253605187929
1157,20.16,4529.15,9.06,100.0,4,6.36,322.3,28.42,10.73,3.82,17.32,410.34099,10.73,8.418510330511651
1158,22.85,6647.43,12.47,166.41,4,11.95,1402.64,27.66,12.0,4.92,5.43,828.934521,12.0,8.802136015550651
1159,7.13,8562.29,6.89,182.89,3,7.63,772.12,23.2,5.19,3.05,50.25,589.9417810000001,5.19,9.055239741088256
1160,15.33,13313.55,1.66,155.32,1,8.29,856.87,23.8,2.59,14.01,23.71,221.00493,2.59,9.496612701206773
1161,11.03,9340.93,11.05,139.15,1,10.43,2055.15,24.14,0.04,3.91,33.59,1032.172765,0.04,9.142268147991805
1162,18.97,2784.22,3.77,278.91,2,2.24,1120.75,23.86,6.76,23.38,25.8,104.96509399999998,6.76,7.932082143855478
1163,19.01,10983.6,16.47,235.02,2,10.5,845.47,21.61,5.29,11.66,27.31,1808.99892,5.29,9.30424957086488
1164,16.07,13206.56,20.63,276.56,2,10.04,200.0,34.59,8.32,3.04,35.28,2724.5133279999995,8.32,9.48854467190152
1165,2.71,12680.65,25.37,298.33,3,6.03,1555.91,26.97,2.71,12.87,43.52,3217.0809050000003,2.71,9.447911345708505
1166,25.06,19237.65,10.87,268.59,4,3.12,461.92,28.31,12.89,21.05,2.82,2091.132555,12.89,9.86467655543776
1167,9.62,15790.09,6.45,296.04,2,3.18,598.62,31.17,3.87,7.85,47.64,1018.460805,3.87,9.667201135899454
1168,15.33,11700.0,12.08,252.27,4,14.0,867.46,11.47,3.4,22.72,61.08,1413.3600000000001,3.4,9.367429587218957
1169,1.22,7660.77,9.9,166.91,4,10.96,1566.56,7.51,1.22,11.82,73.37,758.41623,1.22,8.943998306538045
1170,17.73,2145.72,11.09,324.05,4,8.41,1309.3,19.49,7.48,5.14,30.58,237.96034799999998,7.48,7.671696374842162
1171,20.33,11426.55,10.69,252.27,3,6.64,964.875,20.42,3.23,8.75,16.93,1221.498195,3.23,9.343782385606522
1172,0.5,9567.72,8.76,184.51,3,9.7,1123.32,29.88,0.5,2.31,68.81,838.132272,0.5,9.166254724195332
1173,15.36,10069.47,10.05,237.55,3,12.86,759.85,18.31,2.55,8.75,47.14,1011.981735,2.55,9.217362657910435
1174,6.79,2917.85,5.38,186.1,3,2.57,964.875,22.13,6.79,8.13,43.09,156.98033,6.79,7.978944982072274
1175,19.36,3412.34,10.3,220.78,2,5.08,1029.33,20.81,11.55,25.95125,20.79,351.47102000000007,11.55,8.135446563048482
1176,5.23,18817.12,23.03,274.08,1,13.57,1387.51,6.15,5.23,8.75,63.37,4333.582736,5.23,9.842575514419586
1177,20.73,7850.68,6.99,274.38,1,2.12,1386.87,23.46,10.71,12.59,13.42,548.7625320000001,10.71,8.968482800617847
1178,11.6,13977.45,17.62,187.15,1,4.62,1197.59,29.84,11.04,4.48,22.22,2462.8266900000003,11.04,9.545272136965721
1179,28.1,8288.75,9.6,215.86,2,14.47,855.06,9.73,2.07,7.62,13.64,795.72,2.07,9.022775090859174
1180,4.13,8298.29,17.83,252.27,1,9.97,1296.73,22.83,4.13,5.24,62.28,1479.585107,4.13,9.023925247957076
1181,10.23,17164.99,16.73,284.75,2,5.4,963.21,22.81,10.23,12.29,34.73,2871.7028270000005,10.23,9.7506853797311
1182,3.4,5362.39,4.99,395.25,2,2.87,567.23,9.93,3.07,18.83,75.29,267.583261,3.07,8.58735151683118
1183,27.74,8750.77,16.54,332.61,2,2.37,838.68,8.7,2.79,25.95125,13.23,1447.377358,2.79,9.077011244608949
1184,26.32,5598.08,3.42,330.1,1,5.18,1033.81,34.4,1.88,5.74,22.12,191.454336,1.88,8.630357577512578
1185,7.74,5723.88,4.1,152.85,4,13.46,1364.09,16.81,2.08,2.24,57.13,234.67907999999997,2.08,8.652576867504072
1186,19.8,6327.51,9.14,303.47,1,7.41,926.59,11.82,11.22,6.51,25.48,578.334414,11.22,8.752820100384529
1187,24.52,9678.93,21.87,246.28,1,11.36,516.32,10.14,7.04,17.1,15.01,2116.7819910000003,7.04,9.177809948839517
1188,16.66,5524.79,14.04,211.43,3,13.94,1022.7,25.03,11.74,4.01,22.3,775.680516,11.74,8.617181502589709
1189,15.89,22128.13,5.58,261.76,2,7.3,1045.38,23.28,11.19,8.35,21.24,1234.7496540000002,11.19,10.004650119122742
1190,7.26,3961.25,2.15,316.16,4,4.49,1074.34,24.31,7.26,12.71,44.55,85.16687499999999,7.26,8.284567324712535
1191,2.79,6977.9,15.23,285.06,3,8.72,1367.95,7.64,2.79,5.84,72.15,1062.73417,2.79,8.850646590214108
1192,26.92,5699.96,11.18,188.51,4,13.81,1407.57,31.81,0.28,9.92,15.81,637.255528,0.28,8.64838986069404
1193,27.01,25785.88,12.27,301.97,4,12.46,762.32,16.68,4.68,3.67,26.79,3163.927476,4.68,10.157621114434152
1194,18.99,9482.88,13.72,205.37,2,2.86,753.54,14.4,5.45,25.95125,4.23,1301.051136,5.45,9.15734879421617
1195,10.17,18499.07,19.04,265.17,1,11.0,583.92,18.87,0.14,6.91,54.49,3522.2229279999997,0.14,9.82552979484304
1196,10.48,2468.96,10.22,228.77,2,9.43,1279.53,16.7,0.49,9.71,59.73,252.32771200000005,0.49,7.81195723515891
1197,21.78,10033.05,20.05,234.68,2,13.8,1579.53,30.91,12.78,1.38,1.87,2011.626525,12.78,9.213739588089387
1198,26.91,16509.72,6.16,303.64,3,3.59,873.97,32.88,10.26,3.21,1.23,1016.9987520000001,10.26,9.711765145896662
1199,15.33,8654.44,2.53,177.19,2,8.94,903.43,14.1,3.98,16.7,16.12,218.957332,3.98,9.065943303984207
1200,23.4,8562.29,17.93,386.16,1,13.43,1586.71,30.92,10.32,5.77,8.55,1535.218597,10.32,9.055239741088256
1201,19.26,5357.05,4.4,122.52,4,7.33,1202.22,28.45,11.89,3.84,7.41,235.71020000000004,11.89,8.586355381901251
1202,2.52,25021.18,11.99,208.16,2,8.41,1174.49,32.92,2.52,2.06,54.33,3000.039482,2.52,10.127517910521043
1203,4.85,8562.29,21.45,275.91,4,2.92,523.63,12.37,0.54,19.47,58.0,1836.6112050000002,0.54,9.055239741088256
1204,26.96,6061.6,2.68,290.9,2,5.62,1271.49,22.31,13.99,13.81,0.0,162.45088,13.99,8.709894029955061
1205,18.19,5673.71,13.49,242.97,4,6.22,628.35,13.24,5.18,13.17,36.86,765.383479,5.18,8.6437747397223
1206,0.28,25918.38,2.47,245.98,2,14.29,546.39,29.72,0.28,24.8,77.34,640.1839860000001,0.28,10.162746230427043
1207,3.04,27167.33,10.68,278.74,3,5.67,861.29,5.16,3.04,6.43,66.04,2901.470844,3.04,10.209807235680413
1208,19.91,5333.23,0.59,233.83,4,7.99,765.68,21.94,11.53,2.27,26.58,31.466056999999996,11.53,8.581899823422384
1209,15.33,5789.79,3.72,347.52,2,10.73,911.36,15.18,0.15,8.75,79.28,215.38018800000003,0.15,8.664024003401282
1210,4.82,6467.68,6.48,308.75,2,4.11,423.61,14.68,4.04,25.95125,67.19,419.1056640000001,4.04,8.77472734813319
