section_id,pavement_age_years,aadt,heavy_vehicle_percentage,pavement_thickness_mm,number_of_lanes,subgrade_cbr,annual_rainfall_mm,mean_temperature_c,years_since_last_maintenance,distress_density,pci
1027,5.99,936.82,10.47,202.93,1,11.79,1220.79,21.69,0.92,13.04,63.93
1028,15.43,7758.65,2.51,265.63,3,8.16,862.36,17.34,0.77,13.2,46.9
1029,17.77,6736.21,13.01,128.04,3,7.81,954.21,33.43,5.7,5.47,19.45
1030,1.39,14142.86,15.28,211.78,2,2.09,1059.1,8.79,1.39,9.98,66.78
1031,18.23,35566.69,20.34,,3,12.65,695.27,34.21,10.77,6.99,10.46
1032,5.12,19955.34,14.48,259.47,4,6.68,1084.15,11.92,5.12,2.35,57.61
1033,1.95,6534.75,16.06,319.61,2,9.03,1612.13,28.19,0.76,12.37,52.92
1034,28.47,3343.52,5.79,295.22,2,10.8,688.76,15.17,3.32,11.58,23.73
1035,28.97,63493.18,5.94,100.0,1,,1468.72,9.29,4.11,5.84,7.89
1036,24.25,8496.2,10.69,392.94,1,14.43,1599.24,30.74,8.21,31.9,7.18
1037,9.14,8193.89,10.66,270.67,1,8.91,673.54,14.27,2.17,8.37,62.1
1038,2.93,7948.19,8.07,195.65,1,7.2,417.98,24.77,2.01,1.19,66.81
1039,20.53,9494.5,,261.0,4,14.4,1120.78,21.99,,17.18,12.02
1040,13.2,7219.29,0.5,,2,10.35,781.04,19.15,12.06,14.53,40.1
1041,3.66,5120.82,9.2,203.32,3,5.88,1747.44,19.87,2.71,15.74,51.67
1042,14.86,5231.81,3.57,263.85,1,3.64,1013.92,26.97,6.1,3.45,31.32
1043,1.03,7893.52,21.75,207.48,1,12.95,679.12,7.63,1.03,9.78,73.59
1044,27.28,5246.2,13.52,221.69,1,6.71,541.14,25.05,11.87,8.27,0.0
1045,7.76,4581.23,8.84,201.96,3,,1435.96,31.87,7.65,7.26,31.95
1046,19.88,8823.24,4.89,149.71,1,8.12,771.53,6.73,1.92,20.3,31.86
1047,9.35,6607.88,13.09,260.21,3,4.59,1017.53,9.22,9.35,8.46,48.91
1048,15.6,26989.26,4.0,290.97,2,9.82,1382.32,26.5,5.95,6.01,30.8
1049,16.4,971.87,13.5,286.04,2,2.79,806.3,18.12,3.94,5.96,35.27
1050,5.55,19403.44,23.31,307.39,2,7.37,981.63,17.11,5.55,3.21,51.39
1051,29.09,21957.59,21.96,272.7,4,9.11,993.37,9.11,7.47,9.1,7.14
1052,23.25,1542.7,5.78,212.71,3,7.67,,20.2,5.15,21.36,17.48
1053,28.18,6160.11,21.59,308.78,1,11.73,1236.3,8.8,3.63,6.42,11.65
1054,26.84,6020.03,1.96,154.97,1,12.76,911.95,19.3,5.98,10.19,25.12
1055,17.94,2628.03,9.08,186.95,1,12.03,1025.46,27.91,0.29,7.17,36.3
1056,27.66,4349.2,6.03,182.51,1,2.5,851.29,12.75,11.59,7.79,0.0
1057,2.65,,1.59,325.6,4,4.52,408.96,19.42,2.56,14.98,77.12
1058,5.88,32919.36,16.8,316.0,1,8.98,1103.04,34.76,0.66,3.17,50.02
1059,1.36,17129.25,18.81,284.11,4,14.15,1756.88,25.6,,1.97,52.69
1060,9.76,22409.59,18.37,325.04,3,12.85,646.51,30.24,9.76,17.2,43.11
1061,11.66,14433.94,11.71,188.45,2,12.95,690.79,17.45,11.66,,44.41
1062,8.14,3283.81,13.01,274.4,1,5.94,651.71,28.04,7.4,6.07,49.61
1063,24.86,,24.33,241.24,2,7.58,1289.84,6.22,3.08,36.43,7.17
1064,10.7,11986.06,9.12,309.28,3,8.12,1179.39,8.69,10.7,14.46,46.96
1065,8.43,3048.17,13.14,241.93,3,4.05,936.58,11.09,8.43,3.91,52.72
1066,16.28,14334.13,7.56,223.05,1,2.4,632.79,17.06,3.69,18.02,31.43
1067,4.23,6685.79,19.04,287.86,3,14.31,1036.95,30.37,4.23,14.7,54.94
1068,24.07,6003.77,18.48,311.33,2,5.13,374.15,15.39,1.57,0.12,37.45
1069,,14310.77,13.42,203.22,1,5.12,1057.37,24.64,2.24,9.35,54.0
1070,29.61,11561.21,11.65,,4,3.08,1348.61,26.28,12.9,3.32,0.0
1071,23.17,6070.69,12.04,,1,14.07,499.52,22.59,10.32,7.78,20.33
1072,5.96,20485.32,13.09,100.0,2,9.54,386.99,15.72,5.96,32.3,52.38
1073,0.17,3412.33,2.71,264.03,1,10.67,1631.78,22.31,0.17,15.43,73.79
1074,24.46,13263.2,13.31,292.62,1,13.85,755.3,15.27,2.86,16.88,17.04
1075,21.21,13023.11,22.76,268.34,2,6.49,1454.38,7.52,6.63,7.18,17.94
1076,21.87,6325.62,6.75,113.53,1,10.08,938.4,34.78,1.07,16.93,23.01
1077,23.14,10518.66,12.94,225.44,1,2.5,935.22,8.82,5.84,4.49,19.98
1078,2.22,2978.3,10.38,100.0,2,4.43,1175.37,7.17,2.22,9.26,61.02
1079,10.75,16970.33,,345.88,3,12.81,646.4,31.36,5.8,14.94,55.88
1080,3.48,6988.9,17.82,173.98,2,11.97,1053.0,14.06,3.48,14.62,65.79
1081,25.89,5333.81,7.7,337.88,1,,847.4,24.51,8.93,2.11,13.43
1082,18.7,18754.84,16.86,316.21,4,6.9,471.8,14.87,13.08,27.77,24.27
1083,9.93,,12.59,186.96,4,8.94,1134.99,16.74,0.71,3.76,61.14
1084,1.91,2626.04,3.57,170.71,2,2.0,894.68,12.86,1.91,40.7,60.39
1085,9.33,2332.5,7.26,274.53,4,5.14,,15.29,2.37,,59.5
1086,9.76,13158.3,11.55,190.9,1,4.71,515.94,,9.76,14.35,48.6
1087,21.89,2909.27,7.65,257.17,1,5.26,1636.56,26.61,,4.06,20.3
1088,19.13,32985.9,10.19,216.2,2,12.48,1350.69,20.35,9.97,5.54,15.38
1089,,1532.19,10.5,125.32,1,5.64,1385.66,33.31,4.29,26.29,0.0
1090,14.17,31481.81,7.47,100.0,3,4.49,877.82,6.26,2.98,24.05,41.09
1091,3.59,9593.24,4.94,265.87,1,8.56,308.33,20.09,3.59,7.34,68.21
1092,21.4,7499.78,14.36,210.69,2,13.25,1781.17,22.53,0.28,6.86,20.97
1093,22.82,5239.94,0.29,211.28,3,5.14,,32.61,6.57,7.02,13.69
1094,16.84,11151.27,9.02,,3,3.02,700.48,6.47,0.32,18.11,40.8
1095,23.13,7862.75,14.73,332.14,4,6.63,1166.72,22.2,7.25,16.92,14.85
1096,14.81,19587.39,18.8,230.92,1,11.72,1466.85,30.61,7.52,11.1,18.33
1097,15.68,8878.45,9.34,226.16,2,9.16,990.78,12.26,4.82,,42.89
1098,12.83,9138.41,24.18,285.01,4,12.62,1511.43,31.29,1.98,7.28,36.09
1099,0.76,6057.85,4.46,155.01,4,14.47,1433.2,,,38.61,72.03
1100,3.24,7742.22,11.67,265.62,1,12.3,569.45,26.97,3.24,2.36,70.65
1101,0.94,10365.53,9.75,288.63,1,9.85,730.48,32.99,0.94,6.13,71.35
1102,19.09,2062.89,,297.62,2,8.41,3383.01,24.72,7.96,10.54,2.43
1103,,2755.77,13.7,114.43,4,2.52,200.0,18.17,8.85,1.9,45.11
1104,15.26,14685.43,10.45,196.71,2,14.8,940.22,6.35,3.01,5.23,44.79
1105,27.23,9289.99,4.22,188.52,4,6.99,427.67,32.6,4.31,32.02,16.36
1106,7.48,6994.04,13.58,256.99,4,3.98,809.38,,2.43,16.15,60.87
1107,12.31,8223.47,2.67,283.65,4,10.67,880.47,5.87,3.74,5.2,61.29
1108,,10700.71,15.79,354.77,1,5.7,856.7,,3.37,5.06,24.62
1109,,5261.61,6.81,,4,9.62,,19.46,6.86,2.38,58.26
1110,2.31,4347.5,27.65,215.17,4,9.63,561.14,8.73,2.31,5.82,72.76
1111,8.69,9477.5,6.81,330.48,4,7.79,1916.76,11.43,8.69,12.57,38.87
1112,4.84,3704.49,10.39,270.76,3,12.87,1746.98,6.93,2.93,11.06,70.94
1113,27.89,11232.9,13.63,338.74,1,5.44,535.17,22.23,9.63,6.08,5.87
1114,24.24,2075.45,7.74,270.21,3,7.83,1632.85,23.66,12.26,3.71,6.27
1115,19.0,18459.32,17.68,169.0,1,8.99,840.21,20.17,8.4,7.2,23.71
1116,26.14,59131.31,11.67,156.68,2,10.63,1051.67,29.51,3.83,7.07,2.79
1117,24.11,,1.73,141.39,3,12.19,974.69,30.83,3.94,14.73,13.99
1118,5.6,17785.75,3.41,296.34,2,7.13,736.1,23.47,0.59,9.91,59.55
1119,26.78,30711.1,18.95,333.2,4,10.4,1393.54,5.38,4.58,,17.08
1120,16.18,18242.26,10.96,379.46,2,3.96,1050.35,25.86,11.17,19.21,24.88
1121,24.22,1858.08,9.5,309.02,2,14.12,809.38,17.54,0.71,23.91,31.58
1122,26.88,2911.25,10.68,,2,6.98,478.16,21.97,3.29,10.96,15.41
1123,9.54,4915.48,4.14,209.4,2,11.48,642.56,24.47,9.54,11.16,59.12
1124,3.3,8274.0,,169.05,1,2.26,343.45,15.51,3.3,7.6,64.71
1125,6.84,12260.37,10.51,309.51,3,4.67,1004.89,32.51,6.83,4.01,44.15
1126,12.81,4534.2,27.56,279.24,1,8.33,521.33,,10.47,15.56,43.72
1127,24.54,9408.92,10.02,257.52,1,13.42,893.78,25.15,5.82,13.51,19.22
1128,25.82,4427.96,9.79,277.12,1,8.85,1548.04,,2.4,8.09,32.49
1129,0.21,4968.07,11.07,,2,14.09,1479.72,32.74,0.21,9.94,70.11
1130,15.32,2629.82,,339.87,1,8.29,987.09,8.38,8.7,18.34,38.18
1131,12.52,3871.56,9.2,340.65,3,8.38,965.17,7.85,12.52,20.47,46.19
1132,6.66,2748.07,17.03,288.1,1,3.56,1751.95,14.99,1.03,0.49,62.37
1133,3.6,3711.91,8.91,309.21,4,12.43,1208.3,16.21,,4.91,67.55
1134,10.13,18824.48,19.09,,2,5.21,868.88,11.43,4.93,8.07,42.48
1135,28.29,3791.36,9.24,217.72,4,13.69,429.59,22.55,7.62,3.2,14.18
1136,9.7,66563.1,17.26,302.96,3,13.84,1157.55,18.29,0.36,10.13,55.59
1137,15.56,12023.93,15.48,152.39,3,14.26,1331.73,6.03,4.7,5.13,42.47
1138,21.09,9394.4,8.35,323.77,3,8.76,747.34,14.59,12.3,10.39,16.44
1139,10.91,4077.8,3.6,166.38,3,10.8,1116.48,29.31,8.31,5.26,40.87
1140,29.15,14189.36,24.15,270.01,1,12.12,854.57,25.69,6.76,5.46,0.67
1141,28.87,,9.06,190.84,2,3.7,926.39,26.75,4.28,10.33,1.37
1142,7.55,8933.9,12.17,288.74,3,9.81,200.0,,4.47,16.03,58.44
1143,14.92,62822.44,6.59,247.63,4,2.45,,14.33,5.75,12.95,32.9
1144,9.03,,7.3,138.37,3,8.47,1387.75,7.99,9.03,8.13,51.09
1145,,20321.17,19.07,279.45,2,4.01,747.44,13.17,8.55,1.32,42.39
1146,1.11,4616.81,21.06,,4,4.38,1021.01,29.95,1.11,5.34,51.17
1147,18.29,7879.42,14.44,311.68,4,6.75,697.62,34.41,5.9,4.86,26.81
1148,15.08,33411.0,10.04,250.09,4,7.62,1144.18,19.82,12.7,14.09,25.31
1149,1.54,4907.04,15.34,277.68,1,10.1,913.39,5.29,1.54,9.39,76.57
1150,8.36,34542.95,7.84,182.97,3,2.97,624.3,9.2,8.28,,38.93
1151,27.25,14274.09,11.9,208.75,1,8.55,1533.02,14.66,3.46,4.18,12.38
1152,7.19,5166.89,5.29,217.9,4,4.37,,22.36,7.19,21.02,48.37
1153,4.35,13439.13,5.05,309.97,1,9.46,758.04,7.25,4.35,9.61,71.58
1154,14.68,17642.1,14.19,367.42,1,,1199.12,33.3,12.14,3.96,17.02
1155,29.57,13325.68,12.88,193.64,1,9.24,1214.96,15.95,11.71,4.22,0.0
1156,7.26,2307.27,12.43,325.38,3,,1256.92,32.38,3.23,10.67,53.7
1157,20.16,4529.15,9.06,100.0,4,6.36,322.3,28.42,10.73,3.82,17.32
1158,22.85,6647.43,12.47,166.41,4,11.95,1402.64,27.66,12.0,4.92,5.43
1159,7.13,,6.89,182.89,3,7.63,772.12,23.2,5.19,3.05,50.25
1160,,13313.55,1.66,155.32,1,8.29,856.87,23.8,2.59,14.01,23.71
1161,11.03,9340.93,11.05,139.15,1,10.43,2055.15,24.14,0.04,3.91,33.59
1162,18.97,2784.22,3.77,278.91,2,2.24,1120.75,23.86,6.76,23.38,25.8
1163,19.01,10983.6,16.47,235.02,2,10.5,845.47,21.61,5.29,11.66,27.31
1164,16.07,13206.56,20.63,276.56,2,10.04,200.0,34.59,8.32,3.04,35.28
1165,2.71,12680.65,25.37,298.33,3,6.03,1555.91,26.97,2.71,12.87,43.52
1166,25.06,19237.65,10.87,268.59,4,3.12,461.92,28.31,12.89,21.05,2.82
1167,9.62,15790.09,6.45,296.04,2,3.18,598.62,31.17,3.87,7.85,47.64
1168,,11700.0,12.08,,4,14.0,867.46,11.47,3.4,22.72,61.08
1169,1.22,7660.77,9.9,166.91,4,10.96,1566.56,7.51,1.22,11.82,73.37
1170,17.73,2145.72,11.09,324.05,4,,1309.3,19.49,7.48,5.14,30.58
1171,20.33,11426.55,,,3,6.64,,20.42,3.23,,16.93
1172,0.5,9567.72,8.76,184.51,3,9.7,1123.32,29.88,0.5,2.31,68.81
1173,15.36,10069.47,10.05,237.55,3,12.86,759.85,18.31,2.55,,47.14
1174,6.79,2917.85,5.38,186.1,3,2.57,,22.13,6.79,8.13,43.09
1175,19.36,3412.34,10.3,220.78,2,5.08,1029.33,20.81,11.55,28.82,20.79
1176,5.23,18817.12,23.03,274.08,1,13.57,1387.51,6.15,5.23,,63.37
1177,20.73,7850.68,6.99,274.38,1,2.12,1386.87,23.46,10.71,12.59,13.42
1178,11.6,13977.45,17.62,187.15,1,4.62,1197.59,29.84,11.04,4.48,22.22
1179,28.1,8288.75,9.6,215.86,2,14.47,855.06,9.73,2.07,7.62,13.64
1180,4.13,8298.29,17.83,,1,9.97,1296.73,22.83,4.13,5.24,62.28
1181,10.23,17164.99,16.73,284.75,2,5.4,963.21,22.81,10.23,12.29,34.73
1182,3.4,5362.39,4.99,395.25,2,2.87,567.23,9.93,3.07,18.83,75.29
1183,27.74,8750.77,16.54,332.61,2,2.37,838.68,8.7,2.79,37.22,13.23
1184,26.32,5598.08,3.42,330.1,1,5.18,1033.81,34.4,1.88,5.74,22.12
1185,7.74,5723.88,4.1,152.85,4,13.46,1364.09,16.81,2.08,2.24,57.13
1186,19.8,6327.51,9.14,303.47,1,7.41,926.59,11.82,11.22,6.51,25.48
1187,24.52,9678.93,21.87,246.28,1,11.36,516.32,10.14,7.04,17.1,15.01
1188,16.66,5524.79,14.04,211.43,3,13.94,1022.7,25.03,11.74,4.01,22.3
1189,15.89,22128.13,5.58,261.76,2,7.3,1045.38,23.28,11.19,8.35,21.24
1190,7.26,3961.25,2.15,316.16,4,4.49,1074.34,24.31,7.26,12.71,44.55
1191,2.79,6977.9,15.23,285.06,3,8.72,1367.95,7.64,2.79,5.84,72.15
1192,26.92,5699.96,11.18,188.51,4,13.81,1407.57,31.81,0.28,9.92,15.81
1193,27.01,25785.88,12.27,301.97,4,12.46,762.32,16.68,4.68,3.67,26.79
1194,18.99,9482.88,13.72,205.37,2,2.86,753.54,14.4,,95.0,4.23
1195,10.17,18499.07,19.04,265.17,1,11.0,583.92,18.87,0.14,6.91,54.49
1196,10.48,2468.96,10.22,228.77,2,9.43,1279.53,16.7,0.49,9.71,59.73
1197,21.78,10033.05,20.05,234.68,2,13.8,1579.53,30.91,12.78,1.38,1.87
1198,26.91,16509.72,6.16,303.64,3,3.59,873.97,32.88,10.26,3.21,1.23
1199,,8654.44,2.53,177.19,2,8.94,903.43,14.1,3.98,16.7,16.12
1200,23.4,,17.93,386.16,1,13.43,1586.71,30.92,10.32,5.77,8.55
1201,19.26,5357.05,4.4,122.52,4,7.33,1202.22,28.45,11.89,3.84,7.41
1202,2.52,25021.18,11.99,208.16,2,,1174.49,32.92,2.52,2.06,54.33
1203,4.85,,21.45,275.91,4,2.92,523.63,12.37,0.54,19.47,58.0
1204,26.96,6061.6,2.68,290.9,2,5.62,1271.49,22.31,13.99,13.81,0.0
1205,18.19,5673.71,13.49,242.97,4,6.22,628.35,13.24,5.18,13.17,36.86
1206,0.28,25918.38,2.47,245.98,2,14.29,546.39,29.72,0.28,24.8,77.34
1207,3.04,28671.47,10.68,278.74,3,5.67,861.29,5.16,3.04,6.43,66.04
1208,19.91,5333.23,0.59,233.83,4,7.99,765.68,21.94,11.53,2.27,26.58
1209,,5789.79,3.72,347.52,2,10.73,911.36,15.18,0.15,,79.28
1210,4.82,6467.68,6.48,308.75,2,4.11,423.61,14.68,4.04,27.98,67.19
1211,16.46,2764.01,2.22,311.1,3,8.32,1383.53,24.35,3.64,,41.36
1212,20.76,3885.78,14.51,182.37,3,11.6,1451.07,30.54,14.88,18.49,0.0
1213,19.56,3628.91,13.05,244.44,3,13.27,221.06,23.28,2.96,2.36,40.09
1214,6.73,4384.2,22.07,228.97,4,10.14,1391.38,30.6,6.73,4.4,37.0
1215,21.37,7881.33,4.4,179.61,4,10.7,675.79,12.94,13.88,16.02,19.48
1216,7.12,9772.93,8.69,275.21,3,3.64,1342.79,20.59,2.2,9.56,51.68
1217,9.76,28012.34,,212.36,1,14.3,972.62,18.52,9.76,7.74,53.56
1218,22.39,3645.75,7.07,295.88,1,3.72,1011.51,,14.21,18.32,24.32
1219,19.49,17808.98,23.82,175.09,2,12.07,925.96,21.7,13.27,15.87,13.26
1220,25.48,6828.15,15.89,370.33,1,5.44,1484.85,24.85,3.22,9.75,10.17
1221,19.73,7788.7,4.22,187.26,2,14.14,504.16,22.76,9.51,0.5,28.88
1222,,13902.94,1.25,265.35,4,11.36,1243.14,27.09,11.41,8.45,31.06
1223,2.81,3300.48,1.12,305.43,4,11.8,1440.53,22.14,2.81,11.56,68.62
1224,11.03,11003.05,14.72,210.06,1,4.85,1286.54,7.0,2.71,1.43,49.6
1225,7.96,9257.24,6.37,309.67,4,7.76,1929.88,8.49,7.96,11.27,55.85
1226,7.32,12015.6,29.52,163.96,3,10.03,788.42,22.89,5.08,18.89,42.41
1227,29.19,10212.16,9.75,351.65,3,12.01,1382.92,13.25,2.63,8.44,22.28
1228,11.79,57770.88,6.84,250.99,1,,957.56,7.39,6.32,3.45,44.5
1229,26.76,4864.93,3.23,208.25,1,14.51,1493.36,17.89,11.91,0.61,13.55
1230,18.93,5298.62,17.91,229.06,2,13.57,,21.63,6.97,11.44,29.14
1231,,4922.09,7.89,306.62,4,5.51,844.85,14.86,8.06,1.64,22.17
1232,15.08,5195.86,,209.09,2,12.7,1522.43,26.61,14.93,13.1,18.04
1233,17.31,4866.31,11.17,197.54,2,8.74,803.38,24.31,5.99,27.09,28.18
1234,14.78,20977.66,9.97,,3,8.0,434.91,14.98,9.23,4.58,32.32
1235,5.86,25245.5,15.55,167.61,3,6.09,793.26,27.65,5.48,7.05,41.16
1236,21.67,5132.78,3.59,377.44,3,9.55,1247.61,24.46,5.89,28.12,27.3
1237,8.42,4163.52,9.57,210.35,3,11.49,1556.82,24.12,8.42,9.24,36.25
1238,0.73,11815.09,8.02,308.21,2,,1044.45,21.6,0.73,5.82,70.56
1239,19.36,5209.41,16.04,264.66,3,10.18,1527.28,5.34,8.14,17.09,26.2
1240,5.31,13444.77,18.7,181.08,4,11.09,456.73,25.9,5.31,6.09,54.66
1241,28.21,9531.32,5.12,249.58,3,11.24,822.69,16.28,1.34,4.32,21.18
1242,28.62,2410.05,16.15,,3,2.68,884.57,33.28,3.17,12.95,2.15
1243,27.45,27945.3,3.58,236.82,3,13.18,954.18,29.54,7.53,18.05,0.0
1244,11.1,34088.05,9.91,333.52,1,7.96,1033.64,22.63,,4.29,49.37
1245,0.46,4963.02,10.58,321.51,4,5.41,1276.36,12.57,0.46,9.83,71.95
1246,27.85,5942.22,18.2,314.32,4,5.14,822.08,11.11,7.76,7.3,7.68
1247,12.85,,15.58,217.82,2,8.28,1055.61,15.21,0.22,8.26,49.03
1248,29.0,10588.94,3.89,174.41,2,13.53,981.95,19.3,3.97,3.48,17.13
1249,28.91,13723.09,,207.05,3,6.92,629.64,13.88,7.71,13.66,0.0
1250,25.59,40463.82,11.91,263.74,1,11.75,954.53,20.45,8.6,23.32,13.83
1251,8.83,7033.52,23.62,288.21,2,3.26,942.54,9.96,8.83,4.2,42.36
1252,11.55,4278.52,7.04,100.0,2,8.19,933.97,,9.68,13.65,26.97
1253,25.53,2687.98,8.58,249.43,3,14.89,1012.7,8.24,6.22,16.82,23.58
1254,9.51,4515.43,24.82,261.07,3,12.02,1030.27,32.96,9.51,9.77,35.88
1255,5.08,7891.16,19.49,230.57,2,4.74,827.08,32.41,5.08,13.25,54.49
1256,16.7,34052.08,3.85,340.39,2,8.52,1509.09,20.76,3.0,4.65,28.2
1257,28.08,5355.67,9.99,279.52,4,5.04,532.21,26.75,1.96,22.44,5.69
1258,20.88,,13.65,341.71,1,7.32,711.61,18.08,10.14,18.14,23.52
1259,17.1,7997.32,16.04,234.88,4,12.14,2111.99,23.9,8.4,19.57,14.93
1260,2.92,20967.2,4.72,315.62,2,12.03,584.8,15.22,,2.94,76.81
1261,18.45,,22.29,364.45,4,4.97,458.5,14.03,11.08,12.07,23.96
1262,29.7,5299.17,2.52,341.82,4,13.99,1293.79,,9.38,4.96,4.88
1263,4.2,5477.74,,173.55,2,9.7,200.0,19.94,4.2,23.74,63.84
1264,15.55,18682.24,,,3,6.94,905.89,22.39,8.0,4.28,25.82
1265,26.32,13981.82,10.84,225.84,2,8.53,1858.33,13.6,1.7,10.07,19.37
1266,22.22,35502.77,11.08,284.25,3,9.87,382.03,16.01,12.42,0.99,22.52
1267,20.91,12927.89,12.05,298.04,2,9.28,207.21,7.52,3.78,10.03,39.05
1268,21.07,6078.82,5.61,191.28,2,8.32,400.33,6.57,11.66,2.98,22.47
1269,10.78,12997.65,2.95,254.75,2,8.56,1359.34,12.6,10.78,12.52,44.3
1270,,19672.22,13.17,108.61,1,4.29,1449.91,7.23,8.81,95.0,20.85
1271,24.28,15621.22,14.39,350.94,3,12.57,794.96,8.11,8.94,6.24,31.69
1272,24.3,12158.93,12.39,,1,9.04,1273.28,29.39,6.91,24.14,0.0
1273,26.01,19021.78,7.21,253.91,2,3.7,1556.1,6.17,5.47,33.84,7.53
1274,27.4,20649.3,4.42,228.32,4,11.96,1714.94,24.77,,2.17,0.0
1275,15.34,24482.83,9.07,330.22,1,14.12,901.47,13.18,9.55,6.41,41.98
1276,15.05,13615.55,25.56,100.0,3,14.31,200.0,31.15,11.27,15.2,27.69
1277,23.95,7089.04,9.73,248.84,2,6.8,671.65,19.55,10.18,11.07,20.98
1278,19.5,9112.21,8.64,242.59,1,3.76,,14.17,2.98,14.62,33.53
1279,21.06,21273.28,9.94,218.25,4,8.74,896.42,20.53,7.41,,16.65
1280,23.87,,9.5,370.84,1,3.46,924.86,16.46,11.87,18.66,17.97
1281,26.7,10882.8,21.28,187.89,3,14.14,,21.93,7.14,9.75,0.0
1282,10.14,5915.49,15.62,304.03,1,4.39,1509.77,8.44,8.05,11.55,42.21
1283,11.27,8291.58,6.79,274.94,4,5.29,931.33,34.91,11.27,2.98,33.03
1284,2.82,22533.57,8.16,338.31,4,7.29,1439.39,17.77,2.82,9.01,58.68
1285,17.35,9441.59,,203.3,3,6.98,,15.45,6.14,15.32,32.68
1286,1.08,8409.77,11.56,198.69,4,12.33,1025.8,,1.08,10.63,76.33
1287,13.97,2730.16,5.63,326.72,2,7.93,1362.62,15.92,2.44,9.32,48.28
1288,16.28,14720.6,7.54,279.77,4,4.22,1028.9,30.0,14.93,12.08,12.2
1289,8.6,13580.46,,141.85,2,5.47,1823.12,18.63,1.78,9.7,34.39
1290,17.72,,21.77,212.25,1,,424.64,26.59,0.22,8.11,29.86
1291,0.92,6334.57,8.3,277.05,2,3.92,793.93,8.22,0.92,15.65,76.66
1292,1.12,9655.86,7.75,308.64,2,9.95,949.39,30.38,1.12,7.68,64.98
1293,24.68,9892.25,15.67,202.45,1,9.35,1175.78,27.07,10.95,2.8,2.57
1294,10.81,28622.91,2.2,100.0,4,11.29,,11.35,10.81,23.41,42.89
1295,3.81,7508.29,20.53,286.63,2,14.19,990.24,9.36,,5.09,62.08
1296,15.67,10129.6,,164.58,4,13.86,431.11,14.49,14.87,2.06,29.67
1297,23.1,13178.17,13.99,108.79,1,14.3,1337.01,34.28,4.41,13.17,2.38
1298,6.47,9407.73,,100.0,3,5.18,1301.98,12.7,,25.43,49.07
1299,18.69,5669.48,15.97,306.98,4,3.71,223.26,18.68,1.73,13.39,41.97
1300,2.56,9464.2,14.41,259.0,4,5.93,998.48,5.9,2.56,21.21,70.68
1301,,19127.94,13.47,234.2,3,13.64,363.94,16.92,1.55,3.87,70.07
1302,15.94,3564.53,5.03,347.23,3,14.64,734.14,22.14,5.51,2.84,48.4
1303,16.22,9012.57,7.47,294.61,1,,638.88,33.59,8.87,6.39,33.18
1304,19.12,4628.11,12.36,363.14,4,3.43,1323.71,20.5,7.56,17.72,22.07
1305,21.78,21079.1,6.44,152.51,4,,1046.73,,9.69,12.55,11.88
1306,29.28,2395.75,6.24,247.58,1,7.5,485.76,21.41,14.59,13.22,0.0
